"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.task_link","Answer.feedback","Answer.surveycode","Approve","Reject"
"3NSCTNUR39XQEE3UY6VEYIMWAMM5AX","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3X3OR7WPZAATKZBUJXW8707M9228LB","A2JP9IKRHNLRPI","Submitted","Fri May 13 07:28:29 PDT 2022","Fri May 13 07:44:55 PDT 2022","Mon May 16 07:44:55 PDT 2022","","","","986","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_200","{}","EBDB1A9CA6"
"3B286OTITORYLDIFN8Z8ZS51SNHAJO","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3I3WADAZ91EI32VPYR5XNX1P2HFO5F","A2JP9IKRHNLRPI","Submitted","Fri May 13 07:35:51 PDT 2022","Fri May 13 07:53:50 PDT 2022","Mon May 16 07:53:50 PDT 2022","","","","1079","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_201","{}","9FBE265D1E"
"3GS542CVK5XC9VTP60HE2NBC44459I","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3L4PIM1GQ4QJ23XP1LRYSP4N89DRYH","AR0VJ5XRG16UJ","Submitted","Fri May 13 08:24:50 PDT 2022","Fri May 13 08:42:52 PDT 2022","Mon May 16 08:42:52 PDT 2022","","","","1082","100% (240/240)","100% (237/237)","100% (26/26)","http:/3.83.245.205:3000/20220513_2_fixed_200_202","{}","F7874C0150"
"3P7RGTLO7ONTWXOX5TZK075E7CHAKN","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3OCHAWUVGZU8FUUK65WZ8ZB0BBMKX8","A2JP9IKRHNLRPI","Submitted","Fri May 13 08:14:01 PDT 2022","Fri May 13 08:35:09 PDT 2022","Mon May 16 08:35:09 PDT 2022","","","","1268","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_203","{}","B60D3944E9"
"3DIIW4IV9Z5NODISWP4HAO41NYWI49","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","30H4UDGLTDSYW9SW5QZYTZH1YH6PMS","A1HMZJ59OPLD1P","Submitted","Fri May 13 08:07:24 PDT 2022","Fri May 13 08:20:44 PDT 2022","Mon May 16 08:20:44 PDT 2022","","","","800","100% (44/44)","100% (44/44)","100% (2/2)","http:/3.83.245.205:3000/20220513_2_fixed_200_204","{}","F969E3F827"
"3NZ1E5QA79BVXO8M4KVATT62S475BS","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","39OWYR0EPV1MZDSGAQR4B0Q45L4YFV","A2JP9IKRHNLRPI","Submitted","Fri May 13 08:47:56 PDT 2022","Fri May 13 09:19:57 PDT 2022","Mon May 16 09:19:57 PDT 2022","","","","1921","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_205","{}","211FB83C84"
"3TC2K6WKAQCKWTRSJP924KDP0OV82V","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3VNXK88KKNSWU96Y2T4SU50ZK6K9VI","A2JP9IKRHNLRPI","Submitted","Fri May 13 07:19:21 PDT 2022","Fri May 13 07:33:20 PDT 2022","Mon May 16 07:33:20 PDT 2022","","","","839","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_206","{}","89FAD2FC30"
"39O6Z4JLYC7J8LQ2F755MORTOVWXVZ","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3CP1TO84P4B4WV6KBT70GKYM1CN52U","A2JP9IKRHNLRPI","Submitted","Fri May 13 07:57:44 PDT 2022","Fri May 13 08:17:15 PDT 2022","Mon May 16 08:17:15 PDT 2022","","","","1171","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_207","{}","AC5671AFD2"
"3UOMW19E7NGE7T0SIKR54DCKAP75CZ","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3NLZY2D530ZZQ3BQ5RD8TRSM389LQK","AR0VJ5XRG16UJ","Submitted","Fri May 13 08:50:00 PDT 2022","Fri May 13 09:20:46 PDT 2022","Mon May 16 09:20:46 PDT 2022","","","","1846","100% (240/240)","100% (237/237)","100% (26/26)","http:/3.83.245.205:3000/20220513_2_fixed_200_208","{}","6F11B232D6"
"3UQ1LLR27KI4G36FQTBLF7ITWCMALQ","3H63IRCKXDPWH0CR61AJQ1E6PHQ8EE","Amazon Shopping Game [Some scoring bugs fixed; server speed improved]","Navigate the simulated Amazon shopping site to buy requested product.","","$0.70","Fri May 13 07:19:11 PDT 2022","1","BatchId:4739147;OriginalHitTemplateId:920937340;","3600","259200","Mon May 16 07:19:11 PDT 2022","","","3VD82FOHK1Y32N44D1S5137ZUY6OCS","A2JP9IKRHNLRPI","Submitted","Fri May 13 08:06:08 PDT 2022","Fri May 13 08:25:35 PDT 2022","Mon May 16 08:25:35 PDT 2022","","","","1167","100% (346/346)","100% (332/332)","100% (33/33)","http:/3.83.245.205:3000/20220513_2_fixed_200_209","{}","D3DA3D6C01"
